"","Ach_mil","Ach_pta","Alc_sp","Ana_arv","Ang_syl","Bet_off","Bra_nap","Cam_pat","Cam_rot","Cap_bur","Cen_jac","Cer_arv","Cer_hol","Cir_arv","Cir_can","Cir_pal","Con_can","Cre_bie","Cus_eur","Dau_car","Epi_ang","Epi_sp","Eup_hel","Fal_con","Gal_alb","Gal_bor","Gal_pal","Gal_qua","Gal_spe","Gal_uli","Gale_sp","Gna_syl","Her_sph","Hie_lae","Hie_sp","Hyp_mac","Hyp_per","Hyp_rad","Lam_alb","Lat_pra","Leo_aut","Leo_his","Leu_vul","Lot_cor","Lyc_eur","Lyc_flo","Lys_num","Lys_vul","Lyt_sal","Mat_dis","Mat_cha","Med_lup","Men_arv","Myo_pal","Myo_ram","Odo_ver","Pep_por","Per_hyd","Per_mac","Per_min","Pim_sax","Pla_lan","Pla_maj","Pla_med","Pol_avi","Pot_ans","Pot_ere","Pru_vul","Ran_acr","Ran_aur","Ran_fla","Ran_rep","Rap_rap","Rhi_min","San_off","Scu_gal","Sel_car","Ser_tin","Ste_gra","Suc_pra","Tri_cam","Tri_dub","Tri_hyb","Tri_med","Tri_pra","Tri_rep","Ver_arv","Ver_cha","Ver_scu","Ver_ser","Vic_cra","Vic_hir","Vic_sep","Vic_tet","Vio_arv","Cer_spe","Pru_gra","Son_arv","Dia_del","Epi_pal","Gal_apa","Per_spe"
"11-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-17",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,25,40,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-18",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-19",0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-20",0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,36,13,44,0,0,0,0,0,11,0,0,0,0,6,0,0,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-21",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,38,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-22",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,0,0,0,0,0,3,0,0,0,0,1,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-23",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-24",0,4,5,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1,11,35,0,0,0,0,0,31,0,0,4,0,0,0,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-25",0,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,46,9,41,0,0,0,0,0,7,0,0,15,0,0,0,0,7,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-26",0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,51,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-27",0,20,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,48,0,0,0,0,0,3,0,0,0,0,0,0,0,39,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-28",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-29",0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-32",0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,18,40,0,0,0,0,0,4,0,0,0,0,0,0,0,14,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-33",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,0,0,0,0,0,2,0,0,0,0,0,0,0,46,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-34",0,2,3,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,0,0,5,0,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-35",17,2,0,5,0,0,0,0,0,0,13,0,13,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,6,34,0,0,9,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"11-36",7,6,6,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,14,13,6,0,0,0,0,0,18,0,2,1,0,0,0,0,15,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-37",0,19,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,2,1,9,0,0,0,0,0,24,0,0,5,0,0,0,0,23,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-38",0,1,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,15,0,0,0,10,0,0,6,0,0,0,0,0,14,0,0,1,0,0,0,0,52,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-39",0,0,2,0,0,0,0,1,0,0,15,0,0,0,0,0,0,28,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,5,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,40,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-40",0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,21,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-41",0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,3,0,0,0,21,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,16,1,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0
"11-44",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"11-45",0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,7,0,0,0,17,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,47,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"11-46",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,45,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-47",0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,39,0,2,4,0,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-48",0,0,3,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0,0,0,1,0,0,0,0,0,22,0,8,4,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-49",2,0,5,0,0,0,0,1,0,0,11,0,0,3,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,37,0,0,0,0,5,9,0,0,0,0,0,0,3,0,1,5,0,0,0,0,13,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-50",4,2,0,6,0,0,0,0,0,0,27,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2,0,0,0,38,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,11,8,0,0,1,0,0,7,1,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,2,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"11-51",0,0,9,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,1,0,0,5,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,23,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"11-52",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-53",0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-54",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-55",0,12,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-56",4,3,0,0,0,0,0,0,0,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,6,35,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"11-57",13,5,1,0,0,0,0,0,0,0,47,0,6,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-58",0,0,2,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,41,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"11-59",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0,1,0,0,0,0,0,0,28,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-60",0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,9,0,0,0,0,0,0,43,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-61",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,47,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"11-62",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,26,0,0,0,23,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,55,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"11-63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,44,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"11-64",0,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
